metric_id,metric_cn,metric_en,domain_code,root_ids,metric_type,data_type,caliber_desc,unit,frequency,owner,source_model,review_status,category_l1,category_l2,value_type,dimensions,scenario,reports,formula,analysis_methods,alert_rules,precision,data_sources,tech_caliber,tree_node_id,created_at,updated_at,formula_cn,source_table,version,version_history,offline_reason,offline_note,objection_status,objection_note,caliber_business,caliber_formula,caliber_period,caliber_granularity,caliber_boundary,caliber_source,caliber_owner,caliber_status,caliber_ai_by,caliber_checked_by,caliber_checked_at,caliber_reject_reason
M_SALE_001,月度销售额,monthly_sales_amt,sale,R_SALE_001;R_TIME_001,atomic,amt,自然月内已完成订单的销售总金额，不含退款,元,月度,交易分析部,model_consensus,approved,交易,订单规模,周期总量,时间、机构、渠道、产品,经营分析、预算复盘,销售月报、订单主题汇总报表,"SUM(订单销售金额) WHERE 订单状态 = ""已完成"" AND 统计月份 = 当前自然月",环比、同比、历史趋势分析、达成偏差分析,绿灯：≥目标；黄灯：低于目标10%；红灯：低于目标20%,保留两位小数,订单系统、主数据系统,SUM(sale_amt) WHERE order_status='completed' AND stat_month=当前自然月,L3_SALE_01_01,2026-08-03,2026-08-04,月度销售额 = 统计自然月内所有已完成订单的销售金额之和，不包含退款金额,dwd_sale_order_df,v3,1.0.0|2026-08-03|交易分析部|初始发布与口径定稿;v2|2026-08-04|首次发布;v3|2026-08-04|api test,,,,,,,,,,,,,,,,
M_SALE_002,订单笔数,order_count,sale,R_SALE_001,atomic,cnt,自然月内已完成订单笔数,笔,月度,交易分析部,model_majority,approved,交易,订单规模,周期计数,时间、机构、渠道,运营转化分析,订单运营日报,"COUNT(DISTINCT 订单编号) WHERE 订单状态 = ""已完成"" AND 统计月份 = 当前自然月",环比、同比,—,整数,订单系统,COUNT(DISTINCT order_id) WHERE order_status='completed',L3_SALE_01_01,2026-08-03,2026-08-04,订单笔数 = 统计自然月内状态为已完成的订单数量（按订单号去重）,dwd_sale_order_df,v3,1.0.0|2026-08-03|交易分析部|初始发布;v2|2026-08-04|首次发布;v3|2026-08-04|api test,,,,,,,,,,,,,,,,
M_SALE_N661,订单金额,order_amt,sale,,atomic,,tongj,,,,,approved,,,,,,,de,,,,,,L3_SALE_01_01,2026-08-04,2026-08-04,de,,v3,v2|2026-08-04|首次发布;v3|2026-08-04|api test,,,,,,,,,,,,,,,,
M_MALL_N559,可租面积,rentable_area,mall,,atomic,,das,,,da,,,规模指标,,,,,,das,,,,,,L3_MALL_01_01,2026-08-05,2026-08-05,das,,,,,,,,,,,,,,,,,,,
M_SALE_003,本月订单笔数,mtd_ord_cnt,sale,R_SALE_001,derived,,本月：自然月内已完成订单笔数,笔,current_month,交易分析部,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_01,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_004,本年订单笔数,ytd_ord_cnt,sale,R_SALE_001,derived,,本年：自然月内已完成订单笔数,笔,current_year,交易分析部,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_01,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_005,环比订单笔数,mom_ord_cnt,sale,R_SALE_001,derived,,环比：自然月内已完成订单笔数,笔,prior_period,交易分析部,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_03,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_006,同比订单笔数,yoy_ord_cnt,sale,R_SALE_001,derived,,同比：自然月内已完成订单笔数,笔,same_period_last_year,交易分析部,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_03,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_007,本月订单金额,mtd_order_amt,sale,,derived,,本月：tongj,,current_month,,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_01,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_008,本年订单金额,ytd_order_amt,sale,,derived,,本年：tongj,,current_year,,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_01,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_009,环比订单金额,mom_order_amt,sale,,derived,,环比：tongj,,prior_period,,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_03,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_SALE_010,同比订单金额,yoy_order_amt,sale,,derived,,同比：tongj,,same_period_last_year,,batch_generate,pending,,,,,,,,,,,,,L3_SALE_01_03,2026-08-05,2026-08-05,,,,,,,,,,,,,,,,,,,,
M_MALL_N196,实测面积,measured_area,mall,R_SALE_004;R_SALE_005,atomic,,指通过实际测绘取得的面积，通常包括建筑面积或套内建筑面积，用于销售面积确认与结算。统计周期为月，仅统计已完成实测并获得测绘报告的面积，不包含预测面积或暂测面积。,平方米,月,,,,规模指标,,,,,,实测面积 = 测绘单位出具的实测建筑面积（或套内建筑面积）,,,,,,L3_MALL_01_01,2026-08-05,2026-08-05,取测绘报告中每个测量单元的实测建筑面积或套内建筑面积作为该指标值；若统计项目/楼栋总计，则对各户实测面积求和。,测绘报告、销售台账、房源基础信息表,,,,,,,,,,,,,,,,,,
M_FIN_N595,经营现金流,operating_cash_flow,fin,R_SALE_006;R_SALE_007;R_SALE_008,atomic,,统计周期内，企业日常经营活动产生的现金流入与流出相抵后的净额。仅包含经营活动，不含投资活动与筹资活动的现金流动。统计周期通常为月、季或年，可按需设定。,元,月,,,,现金流类,,,,,,经营活动现金流入 - 经营活动现金流出,,,,,,L3_FIN_01_01,2026-08-05,2026-08-05,经营活动现金流入小计减去经营活动现金流出小计,现金流量表/经营流水表,,,,,,,,,,,,,,,,,,
M_FIN_N493,经营现金流同比,operating_cash_flow_yoy,fin,,atomic,,统计经营现金流的同比增长率，即本期经营现金流量净额与上年同期经营现金流量净额的差额占上年同期经营现金流量净额的比例。统计周期默认按月度，边界为经营活动产生的现金流量净额。,%,月,财务部,,,现金流类,现金流类,百分数,"公司,区域,业务线,时间",用于分析经营现金流的增长趋势，评估企业自我造血能力及经营质量变化。,,(本期经营现金流 - 上年同期经营现金流) / 上年同期经营现金流 * 100%,,,2位小数,,,L3_FIN_01_01,2026-08-06,2026-08-06,本月经营现金流减去去年同月经营现金流，再除以去年同月经营现金流，乘以100%。,dws_fin_cash_flow,,,,,,,,,,,,,,,,,,
